You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date     OT
 2013/4/4 8:00  65.35
 2013/4/4 9:00  61.20
2013/4/4 10:00  56.09
2013/4/4 11:00  51.69
2013/4/4 12:00  49.26
2013/4/4 13:00  48.44
2013/4/4 14:00  47.92
2013/4/4 15:00  47.65
2013/4/4 16:00  47.64
2013/4/4 17:00  48.20
2013/4/4 18:00  49.08
2013/4/4 19:00  50.88
2013/4/4 20:00  51.38
2013/4/4 21:00  50.97
2013/4/4 22:00  48.80
2013/4/4 23:00  46.50
 2013/4/5 0:00  48.82
 2013/4/5 1:00  48.27
 2013/4/5 2:00  47.76
 2013/4/5 3:00  47.48
 2013/4/5 4:00  48.18
 2013/4/5 5:00  49.79
 2013/4/5 6:00  51.56
 2013/4/5 7:00  65.54
 2013/4/5 8:00  74.28
 2013/4/5 9:00  66.99
2013/4/5 10:00  55.80
2013/4/5 11:00  53.57
2013/4/5 12:00  52.99
2013/4/5 13:00  51.25
2013/4/5 14:00  49.61
2013/4/5 15:00  48.94
2013/4/5 16:00  48.47
2013/4/5 17:00  50.02
2013/4/5 18:00  50.51
2013/4/5 19:00  50.94
2013/4/5 20:00  51.48
2013/4/5 21:00  50.66
2013/4/5 22:00  49.34
2013/4/5 23:00  48.31
 2013/4/6 0:00  49.60
 2013/4/6 1:00  49.03
 2013/4/6 2:00  48.88
 2013/4/6 3:00  48.83
 2013/4/6 4:00  49.14
 2013/4/6 5:00  49.52
 2013/4/6 6:00  50.12
 2013/4/6 7:00  49.90
 2013/4/6 8:00  49.76
 2013/4/6 9:00  50.74
2013/4/6 10:00  50.99
2013/4/6 11:00  49.90
2013/4/6 12:00  49.22
2013/4/6 13:00  48.52
2013/4/6 14:00  47.93
2013/4/6 15:00  47.57
2013/4/6 16:00  47.52
2013/4/6 17:00  47.91
2013/4/6 18:00  50.20
2013/4/6 19:00  52.15
2013/4/6 20:00  51.94
2013/4/6 21:00  49.96
2013/4/6 22:00  49.46
2013/4/6 23:00  47.87
 2013/4/7 0:00  48.64
 2013/4/7 1:00  47.98
 2013/4/7 2:00  48.36
 2013/4/7 3:00  48.15
 2013/4/7 4:00  48.57
 2013/4/7 5:00  48.50
 2013/4/7 6:00  48.50
 2013/4/7 7:00  47.82
 2013/4/7 8:00  48.23
 2013/4/7 9:00  48.46
2013/4/7 10:00  48.65
2013/4/7 11:00  48.48
2013/4/7 12:00  47.91
2013/4/7 13:00  47.25
2013/4/7 14:00  47.06
2013/4/7 15:00  46.85
2013/4/7 16:00  47.10
2013/4/7 17:00  47.98
2013/4/7 18:00  49.17
2013/4/7 19:00  50.30
2013/4/7 20:00  51.89
2013/4/7 21:00  50.67
2013/4/7 22:00  50.05
2013/4/7 23:00  49.00
 2013/4/8 0:00  49.84
 2013/4/8 1:00  49.56
 2013/4/8 2:00  49.65
 2013/4/8 3:00  49.78
 2013/4/8 4:00  50.19
 2013/4/8 5:00  51.93
 2013/4/8 6:00  58.93
 2013/4/8 7:00  90.54
 2013/4/8 8:00  89.20
 2013/4/8 9:00  72.47
2013/4/8 10:00  60.91
2013/4/8 11:00  60.49
2013/4/8 12:00  59.07
2013/4/8 13:00  56.00
2013/4/8 14:00  55.98
2013/4/8 15:00  55.94
2013/4/8 16:00  54.64
2013/4/8 17:00  59.12
2013/4/8 18:00  57.61
2013/4/8 19:00  57.02
2013/4/8 20:00  58.33
2013/4/8 21:00  55.96
2013/4/8 22:00  51.97
2013/4/8 23:00  49.81And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
